# Residuals   
# Time        	p             	Ux            	Uy            
0.0002        	1.000000e+00	9.999999e-01	9.999823e-01
0.0004        	5.061910e-03	8.205926e-01	5.718930e-01
0.0006        	4.437348e-03	4.623146e-01	2.404609e-01
0.0008        	8.723815e-02	5.079319e-02	4.591553e-02
0.001         	1.128375e-02	3.022762e-01	2.245124e-01
0.0012        	8.356453e-03	3.253129e-01	2.750582e-01
0.0014        	7.696639e-02	7.798730e-02	6.861869e-02
0.0016        	1.104745e-02	3.132705e-01	1.590319e-01
0.0018        	7.631178e-03	1.771888e-01	1.018231e-01
0.002         	7.214499e-02	3.786206e-02	3.442974e-02
0.0022        	1.611886e-02	1.282651e-01	7.992278e-02
0.0024        	1.161676e-02	9.942499e-02	7.365871e-02
0.0026        	4.325280e-02	3.390513e-02	2.595350e-02
0.0028        	1.262060e-02	8.816339e-02	4.648432e-02
0.003         	8.180788e-03	5.549500e-02	3.754029e-02
0.0032        	3.022196e-02	1.934931e-02	1.753733e-02
0.0034        	2.964488e-02	4.334750e-02	2.556935e-02
0.0036        	2.129726e-02	3.016010e-02	2.384809e-02
0.0038        	2.364778e-02	1.363823e-02	9.989289e-03
0.004         	1.058664e-02	2.665067e-02	1.436463e-02
0.0042        	7.043065e-03	1.692350e-02	1.362130e-02
0.0044        	1.239985e-02	8.608603e-03	8.086282e-03
0.0046        	4.129426e-02	1.399174e-02	9.283811e-03
0.0048        	2.631578e-02	9.041195e-03	8.670942e-03
0.005         	9.466554e-03	5.868044e-03	4.355496e-03
0.0052        	6.472777e-03	8.390264e-03	4.805042e-03
0.0054        	4.599774e-03	5.386100e-03	5.076173e-03
0.0056        	5.402115e-03	3.959112e-03	4.011652e-03
0.0058        	6.788310e-03	4.498815e-03	4.201788e-03
0.006         	5.063331e-03	3.038748e-03	3.741681e-03
0.0062        	3.872090e-03	2.757566e-03	2.516011e-03
0.0064        	3.060931e-03	2.764362e-03	2.200842e-03
0.0066        	2.365792e-03	1.974673e-03	2.288050e-03
0.0068        	2.268468e-03	1.976958e-03	2.281463e-03
0.007         	2.180506e-03	1.732473e-03	2.318747e-03
0.0072        	1.814535e-03	1.489557e-03	2.129651e-03
0.0074        	1.568868e-03	1.492152e-03	1.767410e-03
0.0076        	1.313881e-03	1.241912e-03	1.546131e-03
0.0078        	1.105506e-03	1.151529e-03	1.540159e-03
0.008         	1.006770e-03	1.190229e-03	1.566460e-03
0.0082        	9.054976e-04	1.032758e-03	1.557910e-03
0.0084        	8.174302e-04	1.017034e-03	1.475748e-03
0.0086        	7.351828e-04	9.768825e-04	1.359030e-03
0.0088        	6.302448e-04	8.791744e-04	1.259214e-03
0.009         	5.898221e-04	8.720583e-04	1.220794e-03
0.0092        	5.400802e-04	8.528731e-04	1.203038e-03
0.0094        	4.900467e-04	8.187125e-04	1.182310e-03
0.0096        	4.694680e-04	7.981707e-04	1.143051e-03
0.0098        	4.304108e-04	7.626902e-04	1.088184e-03
0.01          	3.925798e-04	7.230530e-04	1.043931e-03
0.0102        	3.809571e-04	7.060574e-04	1.008105e-03
0.0104        	3.581947e-04	6.915889e-04	9.802494e-04
0.0106        	3.401318e-04	6.784789e-04	9.512127e-04
0.0108        	3.298993e-04	6.646652e-04	9.194198e-04
0.011         	3.059485e-04	6.392315e-04	8.928898e-04
0.0112        	2.980821e-04	6.137046e-04	8.673306e-04
0.0114        	2.921094e-04	5.950664e-04	8.411261e-04
0.0116        	2.712091e-04	5.804708e-04	8.171176e-04
0.0118        	2.637088e-04	5.674376e-04	7.932918e-04
0.012         	2.572856e-04	5.547862e-04	7.693504e-04
0.0122        	2.414394e-04	5.416286e-04	7.462356e-04
0.0124        	2.320743e-04	5.277439e-04	7.237763e-04
0.0126        	2.286113e-04	5.127259e-04	7.041686e-04
0.0128        	2.196482e-04	4.974442e-04	6.873424e-04
0.013         	2.109025e-04	4.840740e-04	6.702436e-04
0.0132        	2.093675e-04	4.729911e-04	6.528670e-04
0.0134        	2.000318e-04	4.617410e-04	6.345113e-04
0.0136        	1.915207e-04	4.505442e-04	6.163266e-04
0.0138        	1.877569e-04	4.401893e-04	6.006359e-04
0.014         	1.818573e-04	4.275214e-04	5.846281e-04
0.0142        	1.758181e-04	4.160007e-04	5.702493e-04
0.0144        	1.720709e-04	4.069918e-04	5.566291e-04
0.0146        	1.660694e-04	3.978196e-04	5.436948e-04
0.0148        	1.607784e-04	3.887313e-04	5.303523e-04
0.015         	1.571047e-04	3.803119e-04	5.177830e-04
0.0152        	1.522990e-04	3.697514e-04	5.034932e-04
0.0154        	1.493439e-04	3.597737e-04	4.906931e-04
0.0156        	1.459408e-04	3.523147e-04	4.796829e-04
0.0158        	1.394192e-04	3.445653e-04	4.697134e-04
0.016         	1.383213e-04	3.375000e-04	4.597789e-04
0.0162        	1.324218e-04	3.296583e-04	4.481887e-04
0.0164        	1.289815e-04	3.209633e-04	4.363468e-04
0.0166        	1.268128e-04	3.141434e-04	4.266289e-04
0.0168        	1.247779e-04	3.075837e-04	4.177453e-04
0.017         	1.195586e-04	2.993965e-04	4.086575e-04
0.0172        	1.169825e-04	2.933457e-04	4.004356e-04
0.0174        	1.128042e-04	2.866607e-04	3.909505e-04
0.0176        	1.105789e-04	2.809502e-04	3.826314e-04
0.0178        	1.071074e-04	2.740409e-04	3.728442e-04
0.018         	1.051383e-04	2.685535e-04	3.652619e-04
0.0182        	1.022236e-04	2.618276e-04	3.575832e-04
0.0184        	1.004175e-04	2.568551e-04	3.508394e-04
0.0186        	9.638686e-05	2.513657e-04	3.439638e-04
0.0188        	9.497078e-05	2.465721e-04	3.373025e-04
0.019         	9.204924e-05	2.408092e-04	3.286642e-04
0.0192        	9.042570e-05	2.359892e-04	3.218779e-04
0.0194        	8.814012e-05	2.295040e-04	3.143360e-04
0.0196        	8.632336e-05	2.252893e-04	3.086147e-04
0.0198        	8.310159e-05	2.207216e-04	3.034633e-04
0.02          	8.229212e-05	2.167736e-04	2.982311e-04
0.0202        	7.923025e-05	2.123441e-04	2.921267e-04
0.0204        	7.736620e-05	2.076725e-04	2.852772e-04
0.0206        	7.629218e-05	2.037253e-04	2.797377e-04
0.0208        	7.458398e-05	1.984302e-04	2.734208e-04
0.021         	7.315846e-05	1.949491e-04	2.688120e-04
0.0212        	7.044785e-05	1.910309e-04	2.643346e-04
0.0214        	6.974564e-05	1.876856e-04	2.599777e-04
0.0216        	6.708275e-05	1.837518e-04	2.544621e-04
0.0218        	6.593354e-05	1.803909e-04	2.498001e-04
0.022         	6.477547e-05	1.757908e-04	2.438787e-04
0.0222        	6.357710e-05	1.727000e-04	2.397965e-04
0.0224        	6.116549e-05	1.690043e-04	2.356038e-04
0.0226        	6.031327e-05	1.661871e-04	2.319563e-04
0.0228        	5.838022e-05	1.629859e-04	2.278269e-04
0.023         	5.746474e-05	1.601963e-04	2.240294e-04
0.0232        	5.592957e-05	1.566869e-04	2.188137e-04
0.0234        	5.511403e-05	1.538767e-04	2.150439e-04
0.0236        	5.382526e-05	1.499786e-04	2.106763e-04
0.0238        	5.264916e-05	1.475409e-04	2.075394e-04
0.024         	5.084545e-05	1.448152e-04	2.045188e-04
0.0242        	5.045255e-05	1.424952e-04	2.015281e-04
0.0244        	4.865911e-05	1.397971e-04	1.976814e-04
0.0246        	4.766668e-05	1.369668e-04	1.935432e-04
0.0248        	4.705063e-05	1.346683e-04	1.904423e-04
0.025         	4.606187e-05	1.314753e-04	1.867436e-04
0.0252        	4.521685e-05	1.293886e-04	1.841230e-04
0.0254        	4.361661e-05	1.269068e-04	1.813148e-04
0.0256        	4.317816e-05	1.248946e-04	1.787450e-04
0.0258        	4.165787e-05	1.224696e-04	1.753495e-04
0.026         	4.099062e-05	1.204655e-04	1.726373e-04
0.0262        	4.027980e-05	1.177615e-04	1.690672e-04
0.0264        	3.960186e-05	1.158901e-04	1.666826e-04
0.0266        	3.827834e-05	1.135152e-04	1.639871e-04
0.0268        	3.767347e-05	1.117911e-04	1.618177e-04
0.027         	3.653987e-05	1.097386e-04	1.592210e-04
0.0272        	3.601067e-05	1.080355e-04	1.569679e-04
0.0274        	3.506166e-05	1.058715e-04	1.538791e-04
0.0276        	3.458726e-05	1.041826e-04	1.516554e-04
0.0278        	3.383910e-05	1.018805e-04	1.488446e-04
0.028         	3.314815e-05	1.003451e-04	1.469251e-04
0.0282        	3.276239e-05	9.883749e-05	1.451179e-04
0.0284        	3.154210e-05	9.692968e-05	1.427633e-04
0.0286        	3.102247e-05	9.542046e-05	1.407994e-04
0.0288        	3.033352e-05	9.341647e-05	1.380342e-04
0.029         	2.980120e-05	9.201687e-05	1.361745e-04
0.0292        	2.941533e-05	9.065936e-05	1.344611e-04
0.0294        	2.840428e-05	8.889991e-05	1.322714e-04
0.0296        	2.793560e-05	8.755731e-05	1.305829e-04
0.0298        	2.722608e-05	8.581487e-05	1.282580e-04
0.03          	2.670722e-05	8.455129e-05	1.265932e-04
0.0302        	2.635358e-05	8.330340e-05	1.249786e-04
0.0304        	2.562103e-05	8.165276e-05	1.228417e-04
0.0306        	2.514656e-05	8.045858e-05	1.213291e-04
0.0308        	2.451821e-05	7.894357e-05	1.194154e-04
0.031         	2.405023e-05	7.784055e-05	1.179869e-04
0.0312        	2.382953e-05	7.673423e-05	1.165746e-04
0.0314        	2.313153e-05	7.532332e-05	1.146075e-04
0.0316        	2.272342e-05	7.392250e-05	1.127036e-04
0.0318        	2.222738e-05	7.289600e-05	1.113664e-04
0.032         	2.194006e-05	7.189367e-05	1.101092e-04
0.0322        	2.131945e-05	7.057339e-05	1.085151e-04
0.0324        	2.101167e-05	6.958228e-05	1.072595e-04
0.0326        	2.048278e-05	6.832862e-05	1.055373e-04
0.0328        	2.014655e-05	6.737562e-05	1.042584e-04
0.033         	1.973533e-05	6.617887e-05	1.026212e-04
0.0332        	1.940521e-05	6.529650e-05	1.014719e-04
0.0334        	1.922475e-05	6.440923e-05	1.003567e-04
0.0336        	1.861673e-05	6.326485e-05	9.879163e-05
0.0338        	1.829763e-05	6.213341e-05	9.726702e-05
0.034         	1.787111e-05	6.131811e-05	9.618663e-05
0.0342        	1.763362e-05	6.053053e-05	9.516574e-05
0.0344        	1.716550e-05	5.954488e-05	9.391651e-05
0.0346        	1.696424e-05	5.874583e-05	9.288676e-05
0.0348        	1.658125e-05	5.772865e-05	9.143617e-05
0.035         	1.634382e-05	5.694353e-05	9.037178e-05
0.0352        	1.605488e-05	5.592404e-05	8.898218e-05
0.0354        	1.573514e-05	5.521841e-05	8.805687e-05
