"N","min(T)","q1(T)","med(T)","q3(T)","max(T)","avg(T)","std(T)","min(U (0))","q1(U (0))","med(U (0))","q3(U (0))","max(U (0))","avg(U (0))","std(U (0))","min(U (1))","q1(U (1))","med(U (1))","q3(U (1))","max(U (1))","avg(U (1))","std(U (1))","min(U (2))","q1(U (2))","med(U (2))","q3(U (2))","max(U (2))","avg(U (2))","std(U (2))","min(U (Magnitude))","q1(U (Magnitude))","med(U (Magnitude))","q3(U (Magnitude))","max(U (Magnitude))","avg(U (Magnitude))","std(U (Magnitude))","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,0,0,0,0,0,0,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,0
1,5.4175e-28,5.4175e-28,5.4175e-28,5.4175e-28,5.4175e-28,5.4175e-28,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,60
1,2.15e-19,2.15e-19,2.15e-19,2.15e-19,2.15e-19,2.15e-19,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,120
1,1.0264e-13,1.0264e-13,1.0264e-13,1.0264e-13,1.0264e-13,1.0264e-13,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,180
1,1.399e-09,1.399e-09,1.399e-09,1.399e-09,1.399e-09,1.399e-09,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,240
1,1.5559e-06,1.5559e-06,1.5559e-06,1.5559e-06,1.5559e-06,1.5559e-06,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,300
1,0.00024836,0.00024836,0.00024836,0.00024836,0.00024836,0.00024836,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,360
1,0.0084025,0.0084025,0.0084025,0.0084025,0.0084025,0.0084025,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,420
1,0.082345,0.082345,0.082345,0.082345,0.082345,0.082345,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,480
1,0.31146,0.31146,0.31146,0.31146,0.31146,0.31146,0,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,3.4648e-06,0,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,-5.0068e-08,0,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,8.4526e-30,0,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,3.4651e-06,0,2068,2068,2068,2068,2068,2068,0,1,540
