"N","min(T)","q1(T)","med(T)","q3(T)","max(T)","avg(T)","std(T)","min(U (0))","q1(U (0))","med(U (0))","q3(U (0))","max(U (0))","avg(U (0))","std(U (0))","min(U (1))","q1(U (1))","med(U (1))","q3(U (1))","max(U (1))","avg(U (1))","std(U (1))","min(U (2))","q1(U (2))","med(U (2))","q3(U (2))","max(U (2))","avg(U (2))","std(U (2))","min(U (Magnitude))","q1(U (Magnitude))","med(U (Magnitude))","q3(U (Magnitude))","max(U (Magnitude))","avg(U (Magnitude))","std(U (Magnitude))","min(vtkOriginalCellIds)","q1(vtkOriginalCellIds)","med(vtkOriginalCellIds)","q3(vtkOriginalCellIds)","max(vtkOriginalCellIds)","avg(vtkOriginalCellIds)","std(vtkOriginalCellIds)","vtkValidPointMask","Time"
1,0,0,0,0,0,0,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,0
1,3.0815e-15,3.0815e-15,3.0815e-15,3.0815e-15,3.0815e-15,3.0815e-15,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,60
1,-1.9401e-13,-1.9401e-13,-1.9401e-13,-1.9401e-13,-1.9401e-13,-1.9401e-13,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,120
1,2.0928e-11,2.0928e-11,2.0928e-11,2.0928e-11,2.0928e-11,2.0928e-11,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,180
1,4.1696e-08,4.1696e-08,4.1696e-08,4.1696e-08,4.1696e-08,4.1696e-08,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,240
1,1.0274e-05,1.0274e-05,1.0274e-05,1.0274e-05,1.0274e-05,1.0274e-05,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,300
1,0.0005563,0.0005563,0.0005563,0.0005563,0.0005563,0.0005563,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,360
1,0.0095008,0.0095008,0.0095008,0.0095008,0.0095008,0.0095008,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,420
1,0.066651,0.066651,0.066651,0.066651,0.066651,0.066651,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,480
1,0.23638,0.23638,0.23638,0.23638,0.23638,0.23638,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,4.7401e-09,0,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,-6.8342e-29,0,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,3.3414e-06,0,3400,3400,3400,3400,3400,3400,0,1,540
