"T","U:0","U:1","U:2","Points:0","Points:1","Points:2"
1.0096,0,0,0,0.0017499,0.00076255,3.3106e-05
1.0096,0,0,0,0.0017499,0.00076255,-3.3106e-05
1.0089,0,0,0,0.001752,0.00076076,-3.3106e-05
1.0089,0,0,0,0.001752,0.00076076,3.3106e-05
1.0105,0,0,0,0.0017476,0.00076425,3.3106e-05
1.0105,0,0,0,0.0017476,0.00076425,-3.3106e-05
1.0054,0,0,0,0.0017454,0.00076586,3.3106e-05
1.0054,0,0,0,0.0017454,0.00076586,-3.3106e-05
0.9948,0,0,0,0.0017652,0.00074638,3.3106e-05
0.99543,0,0,0,0.0017635,0.00074862,3.3106e-05
0.99543,0,0,0,0.0017635,0.00074862,-3.3106e-05
0.9948,0,0,0,0.0017652,0.00074638,-3.3106e-05
0.99479,0,0,0,0.0017618,0.00075082,3.3106e-05
0.99479,0,0,0,0.0017618,0.00075082,-3.3106e-05
1.0026,0,0,0,0.0017561,0.000957,3.3106e-05
1.0026,0,0,0,0.0017561,0.000957,-3.3106e-05
1.0006,0,0,0,0.0017581,0.00095499,-3.3106e-05
1.0006,0,0,0,0.0017581,0.00095499,3.3106e-05
0.99966,0,0,0,0.0017541,0.00075892,-3.3106e-05
0.99966,0,0,0,0.0017541,0.00075892,3.3106e-05
1.0042,0,0,0,0.0017541,0.00095892,3.3106e-05
1.0042,0,0,0,0.0017541,0.00095892,-3.3106e-05
0.99257,0,0,0,0.0017674,0.001257,3.3106e-05
0.99786,0,0,0,0.0017689,0.0012593,3.3106e-05
0.99786,0,0,0,0.0017689,0.0012593,-3.3106e-05
0.99257,0,0,0,0.0017674,0.001257,-3.3106e-05
0.9959,0,0,0,0.0017702,0.0012618,3.3106e-05
0.9959,0,0,0,0.0017702,0.0012618,-3.3106e-05
0.99303,0,0,0,0.0017667,0.00074409,-3.3106e-05
0.99303,0,0,0,0.0017667,0.00074409,3.3106e-05
1.0023,0,0,0,0.0017561,0.000757,-3.3106e-05
1.0023,0,0,0,0.0017561,0.000757,3.3106e-05
0.99391,0,0,0,0.0017608,0.000848,3.3106e-05
0.99222,0,0,0,0.0017625,0.00085015,3.3106e-05
0.99222,0,0,0,0.0017625,0.00085015,-3.3106e-05
0.99391,0,0,0,0.0017608,0.000848,-3.3106e-05
0.99517,0,0,0,0.0017682,0.00074172,-3.3106e-05
0.99517,0,0,0,0.0017682,0.00074172,3.3106e-05
0.99686,0,0,0,0.0017581,0.00075499,-3.3106e-05
0.99686,0,0,0,0.0017581,0.00075499,3.3106e-05
0.99362,0,0,0,0.0017281,0.00077489,3.3106e-05
0.99362,0,0,0,0.0017281,0.00077489,-3.3106e-05
0.99461,0,0,0,0.0017307,0.00077386,-3.3106e-05
0.99461,0,0,0,0.0017307,0.00077386,3.3106e-05
1.0013,0,0,0,0.00176,0.00095294,-3.3106e-05
1.0013,0,0,0,0.00176,0.00095294,3.3106e-05
1.0076,0,0,0,0.001752,0.00096076,3.3106e-05
1.0076,0,0,0,0.001752,0.00096076,-3.3106e-05
0.99303,0,0,0,0.0017715,0.0012642,3.3106e-05
0.99292,0,0,0,0.0017728,0.0012668,3.3106e-05
0.99292,0,0,0,0.0017728,0.0012668,-3.3106e-05
0.99303,0,0,0,0.0017715,0.0012642,-3.3106e-05
0.99178,0,0,0,0.0017739,0.0012693,3.3106e-05
0.99178,0,0,0,0.0017739,0.0012693,-3.3106e-05
1.0146,0,0,0,0.0017454,0.00096586,3.3106e-05
1.0146,0,0,0,0.0017454,0.00096586,-3.3106e-05
1.0189,0,0,0,0.0017476,0.00096425,-3.3106e-05
1.0189,0,0,0,0.0017476,0.00096425,3.3106e-05
1.0135,0,0,0,0.001743,0.00096742,3.3106e-05
1.0135,0,0,0,0.001743,0.00096742,-3.3106e-05
0.99369,0,0,0,0.00176,0.00075294,-3.3106e-05
0.99369,0,0,0,0.00176,0.00075294,3.3106e-05
1.0052,0,0,0,0.0017382,0.00077025,3.3106e-05
0.99564,0,0,0,0.0017358,0.00077154,3.3106e-05
0.99564,0,0,0,0.0017358,0.00077154,-3.3106e-05
1.0052,0,0,0,0.0017382,0.00077025,-3.3106e-05
0.99395,0,0,0,0.0017332,0.00077276,3.3106e-05
0.99395,0,0,0,0.0017332,0.00077276,-3.3106e-05
0.98602,0,0,0,0.0017201,0.00077741,3.3106e-05
0.98602,0,0,0,0.0017201,0.00077741,-3.3106e-05
1.0011,0,0,0,0.0017228,0.00077667,-3.3106e-05
1.0011,0,0,0,0.0017228,0.00077667,3.3106e-05
1.002,0,0,0,0.0017174,0.00077807,3.3106e-05
1.002,0,0,0,0.0017174,0.00077807,-3.3106e-05
0.98914,0,0,0,0.0017529,0.00084005,3.3106e-05
0.98903,0,0,0,0.001755,0.00084194,3.3106e-05
0.98903,0,0,0,0.001755,0.00084194,-3.3106e-05
0.98914,0,0,0,0.0017529,0.00084005,-3.3106e-05
0.99544,0,0,0,0.0017643,0.00085236,3.3106e-05
0.99544,0,0,0,0.0017643,0.00085236,-3.3106e-05
1.0154,0,0,0,0.0017499,0.00096255,3.3106e-05
1.0154,0,0,0,0.0017499,0.00096255,-3.3106e-05
0.99357,0,0,0,0.001771,0.00073687,3.3106e-05
0.99357,0,0,0,0.001771,0.00073687,-3.3106e-05
0.994,0,0,0,0.0017722,0.00073436,-3.3106e-05
0.994,0,0,0,0.0017722,0.00073436,3.3106e-05
1.0178,0,0,0,0.0017255,0.00077584,-3.3106e-05
1.0178,0,0,0,0.0017255,0.00077584,3.3106e-05
0.99825,0,0,0,0.001757,0.00084388,3.3106e-05
0.99825,0,0,0,0.001757,0.00084388,-3.3106e-05
0.99782,0,0,0,0.0017618,0.00095082,-3.3106e-05
0.99782,0,0,0,0.0017618,0.00095082,3.3106e-05
0.99736,0,0,0,0.001743,0.0011674,3.3106e-05
0.99736,0,0,0,0.001743,0.0011674,-3.3106e-05
0.99321,0,0,0,0.0017454,0.0011659,-3.3106e-05
0.99321,0,0,0,0.0017454,0.0011659,3.3106e-05
0.99479,0,0,0,0.0017696,0.00073932,-3.3106e-05
0.99479,0,0,0,0.0017696,0.00073932,3.3106e-05
0.99949,0,0,0,0.0017407,0.00076888,3.3106e-05
0.99949,0,0,0,0.0017407,0.00076888,-3.3106e-05
0.98726,0,0,0,0.001743,0.00076742,-3.3106e-05
0.98726,0,0,0,0.001743,0.00076742,3.3106e-05
1.0039,0,0,0,0.0017508,0.00083823,-3.3106e-05
1.0039,0,0,0,0.0017508,0.00083823,3.3106e-05
0.99636,0,0,0,0.0017635,0.00094862,-3.3106e-05
0.99636,0,0,0,0.0017635,0.00094862,3.3106e-05
0.99977,0,0,0,0.0017652,0.00094638,3.3106e-05
0.99977,0,0,0,0.0017652,0.00094638,-3.3106e-05
0.99772,0,0,0,0.0017667,0.00094409,-3.3106e-05
0.99772,0,0,0,0.0017667,0.00094409,3.3106e-05
0.99134,0,0,0,0.0017228,0.00097667,3.3106e-05
0.99134,0,0,0,0.0017228,0.00097667,-3.3106e-05
0.99243,0,0,0,0.0017255,0.00097584,-3.3106e-05
0.99243,0,0,0,0.0017255,0.00097584,3.3106e-05
0.9919,0,0,0,0.0017201,0.00097741,3.3106e-05
0.9919,0,0,0,0.0017201,0.00097741,-3.3106e-05
1.0053,0,0,0,0.0017499,0.0011625,3.3106e-05
0.99568,0,0,0,0.0017476,0.0011643,3.3106e-05
0.99568,0,0,0,0.0017476,0.0011643,-3.3106e-05
1.0053,0,0,0,0.0017499,0.0011625,-3.3106e-05
0.9969,0,0,0,0.0017589,0.0012459,3.3106e-05
0.99553,0,0,0,0.0017608,0.001248,3.3106e-05
0.99553,0,0,0,0.0017608,0.001248,-3.3106e-05
0.9969,0,0,0,0.0017589,0.0012459,-3.3106e-05
1.0044,0,0,0,0.0017332,0.00097276,3.3106e-05
1.0044,0,0,0,0.0017332,0.00097276,-3.3106e-05
0.99115,0,0,0,0.0017358,0.00097154,-3.3106e-05
0.99115,0,0,0,0.0017358,0.00097154,3.3106e-05
1.0011,0,0,0,0.001755,0.0012419,3.3106e-05
1.0011,0,0,0,0.001755,0.0012419,-3.3106e-05
1.0037,0,0,0,0.0017529,0.00124,-3.3106e-05
1.0037,0,0,0,0.0017529,0.00124,3.3106e-05
0.99677,0,0,0,0.001757,0.0012439,-3.3106e-05
0.99677,0,0,0,0.001757,0.0012439,3.3106e-05
0.99507,0,0,0,0.0017625,0.0012501,3.3106e-05
0.99507,0,0,0,0.0017625,0.0012501,-3.3106e-05
0.9957,0,0,0,0.0017589,0.00084591,-3.3106e-05
0.9957,0,0,0,0.0017589,0.00084591,3.3106e-05
1.0102,0,0,0,0.0017307,0.00097386,3.3106e-05
1.0102,0,0,0,0.0017307,0.00097386,-3.3106e-05
0.99814,0,0,0,0.001752,0.0011608,-3.3106e-05
0.99814,0,0,0,0.001752,0.0011608,3.3106e-05
0.99184,0,0,0,0.0017734,0.00073182,-3.3106e-05
0.99184,0,0,0,0.0017734,0.00073182,3.3106e-05
0.99512,0,0,0,0.0017486,0.00083651,3.3106e-05
0.99512,0,0,0,0.0017486,0.00083651,-3.3106e-05
0.99886,0,0,0,0.0017464,0.00083484,-3.3106e-05
0.99886,0,0,0,0.0017464,0.00083484,3.3106e-05
0.9921,0,0,0,0.0017659,0.00085464,3.3106e-05
0.9921,0,0,0,0.0017659,0.00085464,-3.3106e-05
0.99655,0,0,0,0.0017696,0.00093932,3.3106e-05
0.99655,0,0,0,0.0017696,0.00093932,-3.3106e-05
0.99599,0,0,0,0.001771,0.00093687,-3.3106e-05
0.99599,0,0,0,0.001771,0.00093687,3.3106e-05
1.0045,0,0,0,0.0017407,0.00096888,3.3106e-05
1.0045,0,0,0,0.0017407,0.00096888,-3.3106e-05
1.0057,0,0,0,0.0017541,0.0011589,3.3106e-05
1.0057,0,0,0,0.0017541,0.0011589,-3.3106e-05
1.0054,0,0,0,0.0017561,0.001157,-3.3106e-05
1.0054,0,0,0,0.0017561,0.001157,3.3106e-05
0.99433,0,0,0,0.0017464,0.0012348,3.3106e-05
0.99433,0,0,0,0.0017464,0.0012348,-3.3106e-05
0.99122,0,0,0,0.0017441,0.0012333,-3.3106e-05
0.99122,0,0,0,0.0017441,0.0012333,3.3106e-05
0.99856,0,0,0,0.0017441,0.00083325,-3.3106e-05
0.99856,0,0,0,0.0017441,0.00083325,3.3106e-05
0.99342,0,0,0,0.0017722,0.00093436,-3.3106e-05
0.99342,0,0,0,0.0017722,0.00093436,3.3106e-05
0.99257,0,0,0,0.0017682,0.00094172,-3.3106e-05
0.99257,0,0,0,0.0017682,0.00094172,3.3106e-05
0.99069,0,0,0,0.0017382,0.00097025,-3.3106e-05
0.99069,0,0,0,0.0017382,0.00097025,3.3106e-05
0.99581,0,0,0,0.0017281,0.00097489,3.3106e-05
0.99581,0,0,0,0.0017281,0.00097489,-3.3106e-05
1.0034,0,0,0,0.00176,0.0011529,3.3106e-05
1.0034,0,0,0,0.00176,0.0011529,-3.3106e-05
0.99997,0,0,0,0.0017618,0.0011508,-3.3106e-05
0.99997,0,0,0,0.0017618,0.0011508,3.3106e-05
0.99035,0,0,0,0.0017407,0.0011689,3.3106e-05
0.99035,0,0,0,0.0017407,0.0011689,-3.3106e-05
1.007,0,0,0,0.0017382,0.0011702,3.3106e-05
1.007,0,0,0,0.0017382,0.0011702,-3.3106e-05
0.99902,0,0,0,0.0017417,0.0012318,-3.3106e-05
0.99902,0,0,0,0.0017417,0.0012318,3.3106e-05
0.99653,0,0,0,0.0017508,0.0012382,3.3106e-05
0.99653,0,0,0,0.0017508,0.0012382,-3.3106e-05
0.99513,0,0,0,0.0017486,0.0012365,-3.3106e-05
0.99513,0,0,0,0.0017486,0.0012365,3.3106e-05
0.99774,0,0,0,0.0017643,0.0012524,3.3106e-05
0.99774,0,0,0,0.0017643,0.0012524,-3.3106e-05
0.99676,0,0,0,0.0017659,0.0012546,3.3106e-05
0.99676,0,0,0,0.0017659,0.0012546,-3.3106e-05
1.0064,0,0,0,0.001752,0.0013608,3.3106e-05
1.0064,0,0,0,0.001752,0.0013608,-3.3106e-05
0.99876,0,0,0,0.0017541,0.0013589,-3.3106e-05
0.99876,0,0,0,0.0017541,0.0013589,3.3106e-05
0.98302,0,0,0,0.0017763,0.00072398,3.3106e-05
0.98604,0,0,0,0.0017754,0.00072663,3.3106e-05
0.98604,0,0,0,0.0017754,0.00072663,-3.3106e-05
0.98302,0,0,0,0.0017763,0.00072398,-3.3106e-05
0.98831,0,0,0,0.0017745,0.00072925,3.3106e-05
0.98831,0,0,0,0.0017745,0.00072925,-3.3106e-05
0.98826,0,0,0,0.0017745,0.00092925,3.3106e-05
0.98826,0,0,0,0.0017745,0.00092925,-3.3106e-05
0.98587,0,0,0,0.0017754,0.00092663,-3.3106e-05
0.98587,0,0,0,0.0017754,0.00092663,3.3106e-05
0.98995,0,0,0,0.0017734,0.00093182,3.3106e-05
0.98995,0,0,0,0.0017734,0.00093182,-3.3106e-05
0.99711,0,0,0,0.0017581,0.001155,-3.3106e-05
0.99711,0,0,0,0.0017581,0.001155,3.3106e-05
0.9848,0,0,0,0.0017771,0.0013213,3.3106e-05
0.98788,0,0,0,0.0017763,0.001324,3.3106e-05
0.98788,0,0,0,0.0017763,0.001324,-3.3106e-05
0.9848,0,0,0,0.0017771,0.0013213,-3.3106e-05
0.99031,0,0,0,0.0017754,0.0013266,3.3106e-05
0.99031,0,0,0,0.0017754,0.0013266,-3.3106e-05
1.0089,0,0,0,0.0017499,0.0013625,3.3106e-05
1.0089,0,0,0,0.0017499,0.0013625,-3.3106e-05
0.97539,0,0,0,0.0017778,0.0007186,3.3106e-05
0.97955,0,0,0,0.0017771,0.0007213,3.3106e-05
0.97955,0,0,0,0.0017771,0.0007213,-3.3106e-05
0.97539,0,0,0,0.0017778,0.0007186,-3.3106e-05
0.98299,0,0,0,0.0017763,0.00092398,3.3106e-05
0.98299,0,0,0,0.0017763,0.00092398,-3.3106e-05
0.97925,0,0,0,0.0017771,0.0009213,-3.3106e-05
0.97925,0,0,0,0.0017771,0.0009213,3.3106e-05
0.99231,0,0,0,0.0017281,0.0011749,3.3106e-05
0.99231,0,0,0,0.0017281,0.0011749,-3.3106e-05
0.99489,0,0,0,0.0017307,0.0011739,-3.3106e-05
0.99489,0,0,0,0.0017307,0.0011739,3.3106e-05
0.97084,0,0,0,0.0017784,0.00071587,-3.3106e-05
0.97084,0,0,0,0.0017784,0.00071587,3.3106e-05
0.95386,0,0,0,0.00178,0.00089922,3.3106e-05
0.95386,0,0,0,0.00178,0.00089922,-3.3106e-05
0.95548,0,0,0,0.0017799,0.00089643,-3.3106e-05
0.95548,0,0,0,0.0017799,0.00089643,3.3106e-05
0.99712,0,0,0,0.0017635,0.0011486,-3.3106e-05
0.99712,0,0,0,0.0017635,0.0011486,3.3106e-05
1.0138,0,0,0,0.0017358,0.0011715,3.3106e-05
1,0,0,0,0.0017332,0.0011728,3.3106e-05
1,0,0,0,0.0017332,0.0011728,-3.3106e-05
1.0138,0,0,0,0.0017358,0.0011715,-3.3106e-05
0.98588,0,0,0,0.0017767,0.0012772,3.3106e-05
0.98588,0,0,0,0.0017767,0.0012772,-3.3106e-05
0.98918,0,0,0,0.0017758,0.0012745,-3.3106e-05
0.98918,0,0,0,0.0017758,0.0012745,3.3106e-05
1.0039,0,0,0,0.0017561,0.001357,-3.3106e-05
1.0039,0,0,0,0.0017561,0.001357,3.3106e-05
0.97489,0,0,0,0.0017778,0.0009186,-3.3106e-05
0.97489,0,0,0,0.0017778,0.0009186,3.3106e-05
