"T","U:0","U:1","U:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0,3.53e-06,0,0,1,0,-0.0006,0.0007,0
0,3.5299e-06,2.7003e-10,-9.3325e-25,1,3e-06,-0.000597,0.0007,0
0,3.5299e-06,5.3928e-10,-1.7142e-24,1,6e-06,-0.000594,0.0007,0
0,3.5297e-06,7.9807e-10,-1.627e-24,1,9e-06,-0.000591,0.0007,0
0,3.5295e-06,1.0557e-09,-1.0834e-24,1,1.2e-05,-0.000588,0.0007,0
0,3.5292e-06,1.3029e-09,6.0951e-25,1,1.5e-05,-0.000585,0.0007,0
0,3.5288e-06,1.5551e-09,8.4446e-25,1,1.8e-05,-0.000582,0.0007,0
0,3.5284e-06,1.7926e-09,-8.4953e-25,1,2.1e-05,-0.000579,0.0007,0
0,3.528e-06,2.0226e-09,-2.0597e-24,1,2.4e-05,-0.000576,0.0007,0
0,3.5274e-06,2.2469e-09,-2.912e-24,1,2.7e-05,-0.000573,0.0007,0
0,3.5268e-06,2.4744e-09,-3.2665e-25,1,3e-05,-0.00057,0.0007,0
0,3.5262e-06,2.6944e-09,1.9677e-24,1,3.3e-05,-0.000567,0.0007,0
0,3.5255e-06,2.9035e-09,1.7573e-24,1,3.6e-05,-0.000564,0.0007,0
0,3.5247e-06,3.1426e-09,2.7779e-25,1,3.9e-05,-0.000561,0.0007,0
0,3.5239e-06,3.3434e-09,-1.1038e-24,1,4.2e-05,-0.000558,0.0007,0
0,3.523e-06,3.5276e-09,-2.797e-24,1,4.5e-05,-0.000555,0.0007,0
0,3.5221e-06,3.7062e-09,-2.8e-24,1,4.8e-05,-0.000552,0.0007,0
0,3.5211e-06,3.94e-09,-1.4483e-25,1,5.1e-05,-0.000549,0.0007,0
0,3.5201e-06,4.1122e-09,6.2511e-24,1,5.4e-05,-0.000546,0.0007,0
0,3.519e-06,4.2827e-09,4.0357e-24,1,5.7e-05,-0.000543,0.0007,0
0,3.5179e-06,4.4829e-09,1.9091e-24,1,6e-05,-0.00054,0.0007,0
0,3.5166e-06,4.6572e-09,6.0583e-25,1,6.3e-05,-0.000537,0.0007,0
